rank,frame_index,filename,raw_score,smooth_score,reasons
230,4165,004165.png,0.04605151,0.04885007,very_dense_motion
231,4170,004170.png,0.04665172,0.04630391,dense_motion|very_dense_motion
232,4175,004175.png,0.02171830,0.04388000,very_dense_motion
233,4180,004180.png,0.03813762,0.04127011,dense_motion|very_dense_motion
234,4185,004185.png,0.03595554,0.04034657,very_dense_motion
235,4190,004190.png,0.04065895,0.03872818,dense_motion|very_dense_motion
236,4195,004195.png,0.03826973,0.03973619,very_dense_motion
237,4200,004200.png,0.04098241,0.04052514,base|dense_motion|very_dense_motion
238,4240,004240.png,0.04313973,0.04308753,base|dense_motion
239,4279,004279.png,0.04090615,0.03804079,endpoint
